2025-09-27 15:24:32,3061,0.0,1.5,61300
2025-09-27 15:24:33,3061,0.0,1.5,61300
2025-09-27 15:24:34,3061,0.0,1.5,61300
2025-09-27 15:24:35,3061,0.0,1.5,61300
2025-09-27 15:24:36,3061,0.0,1.5,61300
2025-09-27 15:24:35,3061,0.0,1.5,61300
2025-09-27 15:24:36,3061,0.0,1.5,61300
2025-09-27 15:24:37,3061,0.0,1.5,61300
2025-09-27 15:24:38,3061,0.0,1.5,61300
2025-09-27 15:24:39,3061,0.0,1.5,61300
2025-09-27 15:24:41,3061,0.0,1.5,61300
2025-09-27 15:24:42,3061,0.0,1.5,61300
2025-09-27 15:24:43,3061,0.0,1.5,61300
2025-09-27 15:24:44,3061,0.0,1.5,61300
2025-09-27 15:24:45,3061,0.0,1.5,61300
2025-09-27 15:24:46,3061,0.0,1.5,61300
2025-09-27 15:24:47,3061,0.0,1.5,61300
2025-09-27 15:24:48,3061,0.0,1.5,61300
2025-09-27 15:24:49,3061,0.0,1.5,61300
2025-09-27 15:24:50,3061,0.0,1.5,61300
2025-09-27 15:24:51,3061,0.0,1.5,61300
2025-09-27 15:24:52,3061,0.0,1.5,61300
2025-09-27 15:24:53,3061,0.0,1.5,61300
2025-09-27 15:24:54,3061,0.0,1.5,61300
2025-09-27 15:24:56,3061,0.0,1.5,61300
2025-09-27 15:24:57,3061,0.0,1.5,61300
2025-09-27 15:24:58,3061,0.0,1.5,61300
2025-09-27 15:24:59,3061,0.0,1.5,61300
2025-09-27 15:25:00,3061,0.0,1.5,61300
2025-09-27 15:25:01,3061,0.0,1.5,61300
2025-09-27 15:25:02,3061,0.0,1.5,61300
2025-09-27 15:25:03,3061,0.0,1.5,61300
2025-09-27 15:25:04,3061,0.0,1.5,61300
2025-09-27 15:25:05,3061,0.0,1.5,61300
2025-09-27 15:25:06,3061,0.0,1.5,61300
2025-09-27 15:25:07,3061,0.0,1.5,61300
2025-09-27 15:25:06,3061,0.0,1.5,61300
2025-09-27 15:25:07,3061,0.0,1.5,61300
2025-09-27 15:25:08,3061,0.0,1.5,61300
2025-09-27 15:25:10,3061,0.1,1.5,61300
2025-09-27 15:25:11,3061,0.1,1.5,61300
2025-09-27 15:25:12,3061,0.1,1.5,61300
2025-09-27 15:25:13,3061,0.1,1.5,61300
2025-09-27 15:25:14,3061,0.1,1.5,61300
2025-09-27 15:25:15,3061,0.1,1.5,61300
2025-09-27 15:25:16,3061,0.1,1.5,61300
2025-09-27 15:25:17,3061,0.1,1.5,61300
2025-09-27 15:25:18,3061,0.1,1.5,61300
2025-09-27 15:25:19,3061,0.1,1.5,61300
2025-09-27 15:25:20,3061,0.1,1.5,61300
2025-09-27 15:25:21,3061,0.1,1.5,61300
2025-09-27 15:25:22,3061,0.1,1.5,61300
2025-09-27 15:25:23,3061,0.1,1.5,61300
2025-09-27 15:25:24,3061,0.1,1.5,61300
2025-09-27 15:25:26,3061,0.1,1.5,61300
2025-09-27 15:25:27,3061,0.1,1.5,61300
2025-09-27 15:25:28,3061,0.1,1.5,61300
2025-09-27 15:25:29,3061,0.1,1.5,61300
2025-09-27 15:25:30,3061,0.1,1.5,61300
2025-09-27 15:25:31,3061,0.1,1.5,61300
2025-09-27 15:25:32,3061,0.1,1.5,61300
2025-09-27 15:25:33,3061,0.1,1.5,61300
2025-09-27 15:25:34,3061,0.1,1.5,61300
2025-09-27 15:25:35,3061,0.1,1.5,61300
2025-09-27 15:25:36,3061,0.1,1.5,61300
2025-09-27 15:25:37,3061,0.1,1.5,61300
2025-09-27 15:25:37,3061,0.1,1.5,61300
2025-09-27 15:25:38,3061,0.1,1.5,61300
2025-09-27 15:25:39,3061,0.1,1.5,61300
2025-09-27 15:25:40,3061,0.1,1.5,61300
2025-09-27 15:25:41,3061,0.1,1.5,61300
2025-09-27 15:25:42,3061,0.1,1.5,61300
2025-09-27 15:25:43,3061,0.1,1.5,61300
2025-09-27 15:25:44,3061,0.1,1.5,61300
2025-09-27 15:25:45,3061,0.1,1.5,61300
2025-09-27 15:25:47,3061,0.1,1.5,61300
2025-09-27 15:25:48,3061,0.1,1.5,61300
2025-09-27 15:25:49,3061,0.1,1.5,61300
2025-09-27 15:25:50,3061,0.1,1.5,61300
